org_id,org_name,org_type,homepage_url,jobs_url,canonical_jobs_url,jobs_source_type,adapter,confidence,discovered_via,last_verified,notes,manual_review
mun-0354-township-of-mulmur,Township of Mulmur,municipality,https://mulmur.ca/,https://mulmur.ca/work/employment,https://mulmur.ca/content/work/employment/administrative-assistant-summer-student-job-description-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0525-naicatchewenin,Naicatchewenin,first_nation,https://naicatcheweninfirstnation.ca/,https://naicatcheweninfirstnation.ca/employment,https://naicatcheweninfirstnation.ca/employment,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0356-township-of-nairn-hyman,Township of Nairn & Hyman,municipality,https://nairncentre.ca/,https://nairncentre.ca/municipal-services/job-opportunities,https://nairncentre.ca/wp-content/uploads/2017/12/ApplicationForEmployment.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0127-municipality-of-the-nation,Municipality of The Nation,municipality,https://nationmun.ca/,https://nationmun.ca/conseil-et-employes/opportunites-demploi,https://nationmun.ca/conseil-et-employes/opportunites-demploi,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0527-neskantaga-first-nation,Neskantaga First Nation,first_nation,https://neskantaga.com/,https://neskantaga.com/employment,https://neskantaga.com/employment,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0533-nipissing-first-nation,Nipissing First Nation,first_nation,https://nfn.ca/,https://nfn.ca/jobs,https://nfn.ca/wp-content/uploads/2026/02/202060206-Community-Wellness-Worker-Rec-Education-Job-Posting-2.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0023-city-of-niagara-falls,City of Niagara Falls,municipality,https://niagarafalls.ca/,https://niagarafalls.wd10.myworkdayjobs.com/CNF,https://niagarafalls.wd10.myworkdayjobs.com/CNF,ats_workday,workday,0.98,url_pattern,2026-02-16,matched workday domain/path,0
fn-0530-nigigoonsiminikaaning-first-nation,Nigigoonsiminikaaning First Nation,first_nation,https://nigigoonsiminikaaning.ca/,https://nigigoonsiminikaaning.ca/category/employment,https://nigigoonsiminikaaning.ca/category/employment,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0024-city-of-north-bay,City of North Bay,municipality,https://northbay.ca/,https://northbay.ca/careers,https://northbay.ca/media/hbon04v3/north-bay-welcome-guide.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0063-county-of-northumberland,County of Northumberland,municipality,https://northumberland.ca/,https://northumberland.ca/county-government/careers,https://northumberland.ca/county-government/careers,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0114-municipality-of-oliver-paipoonge,Municipality of Oliver Paipoonge,municipality,https://oliverpaipoonge.ca/,https://oliverpaipoonge.ca/municipal-office/employment,https://oliverpaipoonge.ca/municipal-office/employment,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0540-oneida-nation-of-the-thames,Oneida Nation of the Thames,first_nation,https://oneida.on.ca/,https://oneida.on.ca/employment/job-listings,https://oneida.on.ca/employment/job-listings,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0539-oneida,Oneida,first_nation,https://oneida.on.ca/,https://oneida.on.ca/employment/job-listings/,https://oneida.on.ca/employment/job-listings,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0025-city-of-orillia,City of Orillia,municipality,https://www.orillia.ca/en/index.aspx,https://orillia.hiringplatform.ca/list/careers,https://orillia.hiringplatform.ca/list/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0142-regional-municipality-of-peel,Regional Municipality of Peel,municipality,https://peelregion.ca/,https://peelregion.ca/about/careers-peel,https://careers-peelregion.icims.com/jobs/search,ats_icims,icims,0.92,html_a_href,2026-02-16,matched icims domain via a_href,0
mun-0214-town-of-petawawa,Town of Petawawa,municipality,https://petawawa.ca/,https://petawawa.ca/town-hall/employment-opportunities,https://petawawa.ca/town-hall/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0377-township-of-pickle-lake,Township of Pickle Lake,municipality,https://picklelake.ca/,https://picklelake.ca/employment-opportunities/,https://picklelake.ca/wp-content/uploads/2022/10/eBilling-Registration-and-Login.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0378-township-of-plummer-additional,Township of Plummer Additional,municipality,https://plummertownship.ca/,https://plummertownship.ca/township-office/employment-opportunities,https://plummertownship.ca/township-office/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0380-township-of-puslinch,Township of Puslinch,municipality,https://puslinch.ca/,https://puslinch.ca/doing-business/careers,https://puslinch.ca/doing-business/careers,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0545-rainy-river-first-nations,Rainy River First Nations,first_nation,https://rainyriverfirstnations.com/,https://rainyriverfirstnations.com/careers,https://rainyriverfirstnations.com/wp-content/uploads/2026/02/RRFN-Membership-Code-Application.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0157-town-of-caledon,Town of Caledon,municipality,https://www.caledon.ca/en/index.aspx,https://recruiting.ultipro.ca/COR5003CALED/JobBoard/55e2803a-385b-47b1-b911-51dd7ed81d1e?q=&o=postedDateDesc,https://recruiting.ultipro.ca/COR5003CALED/JobBoard/55e2803a-385b-47b1-b911-51dd7ed81d1e?q=&o=postedDateDesc,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
mun-0059-county-of-lambton,County of Lambton,municipality,https://www.lambtononline.ca/en/index.aspx,https://recruiting.ultipro.ca/COR5004CLMB/JobBoard/6b014206-1003-40c3-98a0-b2340f1971da/?q=&o=postedDateDesc,https://recruiting.ultipro.ca/COR5004CLMB/JobBoard/6b014206-1003-40c3-98a0-b2340f1971da?q=&o=postedDateDesc,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
mun-0008-city-of-chatham-kent,City of Chatham-Kent,municipality,https://www.chatham-kent.ca/Pages/default.aspx,https://recruiting.ultipro.ca/COR5101COMCH/JobBoard/99e5515b-9ffb-4d3b-a84e-95f953a5c0f2?q=&o=postedDateDesc,https://recruiting.ultipro.ca/COR5101COMCH/JobBoard/99e5515b-9ffb-4d3b-a84e-95f953a5c0f2?q=&o=postedDateDesc,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
mun-0057-county-of-hastings,County of Hastings,municipality,https://www.hastingscounty.com/,https://recruiting.ultipro.ca/COR5104CCOH/JobBoard/3bc4a2fd-51ca-4ae2-a6c0-8aabfc0f6788/?q=&o=postedDateDesc,https://recruiting.ultipro.ca/COR5104CCOH/JobBoard/3bc4a2fd-51ca-4ae2-a6c0-8aabfc0f6788?q=&o=postedDateDesc,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
fn-0483-fort-severn,Fort Severn,first_nation,https://kochiefs.ca/first-nations/fort-severn,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
fn-0495-keewaywin-first-nation,Keewaywin First Nation,first_nation,https://kochiefs.ca/first-nations/keewaywin,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
fn-0509-mcdowell-lake,McDowell Lake,first_nation,https://kochiefs.ca/first-nations/mcdowell-lake,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
fn-0544-poplar-hill,Poplar Hill,first_nation,https://kochiefs.ca/first-nations/poplar-hill,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c/?q=&o=postedDateDesc,https://recruiting.ultipro.ca/KEE5000NCC/JobBoard/0f7cbf31-f68f-4b9a-a175-34c1162ee91c?q=&o=postedDateDesc,ats_utipro,utipro,0.98,url_pattern,2026-02-16,matched ultipro/ukg recruiting,0
mun-0382-township-of-red-rock,Township of Red Rock,municipality,https://redrocktownship.com/,https://redrocktownship.com/community/employment-opportunities,https://redrocktownship.com/wp-content/uploads/2025/11/Vendors-List-auto.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0550-saugeen,Saugeen,first_nation,https://saugeenfirstnation.com/,https://saugeenfirstnation.com/employment-opportunities,https://saugeenfirstnation.com/wp-content/uploads/2026/02/Chronic-Disease-Management-Nurse-Job-Posting-February-2026-1.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0036-city-of-sault-ste-marie,City of Sault Ste Marie,municipality,https://saultstemarie.ca/,https://saultstemarie.ca/live/fire-services/firefighter-recruitment,https://saultstemarie.ca/wp-content/uploads/2025/11/2026-Firefighter-Recruitment-Guide-FINAL.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0552-serpent-river,Serpent River,first_nation,https://serpentriverfn.com/,https://serpentriverfn.com/employment-opportunites/job_postings/ ,https://serpentriverfn.com/wp-content/uploads/2025/09/RSG_Site_Supervisor_Job_Posting.pdf.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0553-shawanaga-first-nation,Shawanaga First Nation,first_nation,https://shawanagafirstnation.ca/,https://shawanagafirstnation.ca/employment/,https://shawanagafirstnation.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0554-sheguiandah,Sheguiandah,first_nation,https://sheguiandahfn.ca/,https://sheguiandahfn.ca/employment,https://sheguiandahfn.ca/wp-content/uploads/2026/01/20260114_JP-Business-Development-Coordinator.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0556-shoal-lake-no-40,Shoal Lake No.40,first_nation,https://shoallake40.ca/,https://shoallake40.ca/economic-development,https://shoallake40.ca/economic-development,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0068-county-of-simcoe,County of Simcoe,municipality,https://simcoe.ca/,https://simcoe.ca/residents/paramedic-services/careers,https://simcoe.ca/wp-content/uploads/2025/12/2026-Spring-Recruitment-Important-Dates.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0222-town-of-smooth-rock-falls,Town of Smooth Rock Falls,municipality,https://smoothrockfalls.ca/,https://smoothrockfalls.ca/living/employment,https://smoothrockfalls.ca/documents/133/documents/01BFZNUC64SGNIS6UPV5CJAMPZAV7ERB2S/Employment%20Options%20Database.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0440-village-of-south-river,Village of South River,municipality,https://southriver.ca/en,https://southriver.ca/en/municipal-information/job-opportunities,https://southriver.ca/uploads/documents/Job%20Postings/2024/24U-01%20Supply%20Teachers%20East%20-%20External%20Jan%2004%202024.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0124-municipality-of-st-charles,Municipality of St. Charles,municipality,https://stcharlesontario.ca/,https://stcharlesontario.ca/municipality/employment,https://stcharlesontario.ca/wp-content/uploads/2026/02/Posting-Heavy-Equipment-Operator-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0403-township-of-st-joseph,Township of St. Joseph,municipality,https://stjosephtownship.com/,https://stjosephtownship.com/jobs,https://stjosephtownship.com/jobs,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0039-city-of-stratford,City of Stratford,municipality,https://www.stratford.ca/en/index.aspx,https://stratford.hiringplatform.ca/list/careers,https://stratford.hiringplatform.ca/list/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0408-township-of-tarbutt,Township of Tarbutt,municipality,https://tarbutt.ca/,https://tarbutt.ca/home/notices/,https://tarbutt.ca/home/notices,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0559-taykwa-tagamou-nation,Taykwa Tagamou Nation,first_nation,https://taykwatagamou.com/,https://taykwatagamou.com/about/careers,https://taykwatagamou.com/about/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0411-township-of-tehkummah,Township of Tehkummah,municipality,https://tehkummah.ca/,https://tehkummah.ca/notices/,https://tehkummah.ca/wp-content/uploads/2026/02/DOC.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0560-teme-augama-anishinabek,Teme Augama Anishinabek,first_nation,https://temagamifirstnation.ca/,https://temagamifirstnation.ca/employment/,https://temagamifirstnation.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0227-town-of-thessalon,Town of Thessalon,municipality,https://thessalon.ca/,https://thessalon.ca/council-and-government/employment-opportunities,https://thessalon.ca/wp-content/uploads/2026/02/Maintenance-Worker-Labourer-3-Job-Description.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0215-town-of-petrolia,Town of Petrolia,municipality,https://town.petrolia.on.ca/,https://town.petrolia.on.ca/town-hall/employment,https://town.petrolia.on.ca/wp-content/uploads/2025/12/Seasonal-Positions-Job-Posting.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0202-town-of-mono,Town of Mono,municipality,https://townofmono.com/,https://townofmono.com/jobs,https://townofmono.com/jobs,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0306-township-of-hilliard,Township of Hilliard,municipality,https://townshipofhilliard.ca/,https://townshipofhilliard.ca/municipal-government/rfqs-and-rfps,https://townshipofhilliard.ca/municipal-government/rfqs-and-rfps,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0353-township-of-morley,Township of Morley,municipality,https://townshipofmorley.ca/,https://townshipofmorley.ca/public-notices/,https://townshipofmorley.ca/wp-content/uploads/2024/12/Tender-Documents-Split-Rock-Bridge.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0374-township-of-perry,Township of Perry,municipality,https://townshipofperry.ca/,https://townshipofperry.ca/employment-opportunities,https://townshipofperry.ca/wp-content/uploads/2026/01/2025-11-27-Vet-Committee.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0375-township-of-perth-east,Township of Perth East,municipality,https://www.pertheast.ca/,https://townshipofpertheast.applytojob.com/apply,https://townshipofpertheast.applytojob.com/apply,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0414-township-of-the-north-shore,Township of The North Shore,municipality,https://townshipofthenorthshore.ca/,https://townshipofthenorthshore.ca/governing/employment,https://townshipofthenorthshore.ca/governing/employment,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0433-united-townships-of-head-clara-maria,"United Townships of Head, Clara & Maria",municipality,https://townshipsofheadclaramaria.ca/,https://townshipsofheadclaramaria.ca/careers,https://townshipsofheadclaramaria.ca/careers,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0416-township-of-tudor-cashel,Township of Tudor & Cashel,municipality,https://tudorandcashel.com/,https://tudorandcashel.com/council/tenders-rfqs-rfps-employment,https://tudorandcashel.com/wp-content/uploads/PLANS-DEC-30-25.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0417-township-of-tyendinaga,Township of Tyendinaga,municipality,https://tyendinagatownship.com/,https://tyendinagatownship.com/recreation-complex-sponsorship-advertising-opportunities,https://tyendinagatownship.com/wp-content/uploads/Senior-of-the-Year-Nomination-Form-2026-Final-fillable.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0419-township-of-val-rita-harty,Township of Val Rita-Harty,municipality,https://valharty.ca/,https://valharty.ca/municipality/careers/,https://valharty.ca/wp-content/uploads/2021/02/Asset_Management_Plan.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0442-village-of-westport,Village of Westport,municipality,https://villageofwestport.ca/,https://villageofwestport.ca/employment-opportunities/,https://villageofwestport.ca/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0565-wabaseemoong-independent-nations,Wabaseemoong Independent Nations,first_nation,https://wabaseemoong.ca/,https://wabaseemoong.ca/news/job-opportunities,https://wabaseemoong.ca/news/job-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0566-wabauskang-first-nation,Wabauskang First Nation,first_nation,https://wabauskangfirstnation.com/,https://wabauskangfirstnation.com/careers/,https://wabauskangfirstnation.com/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0568-wahnapitae,Wahnapitae,first_nation,https://wahnapitaefn.ca/,https://wahnapitaefn.ca/notices/jobs/postings.html,https://wahnapitaefn.ca/notices/jobs/postings.html,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
fn-0569-wahta-mohawk,Wahta Mohawk,first_nation,https://wahtamohawks.com/,https://wahtamohawks.com/administration/employment/,https://wahtamohawks.com/wp-content/uploads/2026/02/Transfer-Station-Attendant-Job-Posting-Feb-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0573-wasauksing-first-nation,Wasauksing First Nation,first_nation,https://wasauksing.ca/,https://wasauksing.ca/employment-opportunities/,https://wasauksing.ca/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0047-city-of-welland,City of Welland,municipality,https://www.welland.ca/,https://welland.myavanti.ca/careers,https://welland.myavanti.ca/careers,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0428-township-of-wollaston,Township of Wollaston,municipality,https://wollaston.ca/,https://wollaston.ca/township-hall/employment-opportunities,https://wollaston.ca/wp-content/uploads/2022/05/Fire-20220520-Volunteer-Contact-Data-Form-FILLABLE-1.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0548-sagamok-anishnawbek,Sagamok Anishnawbek,first_nation,https://www.sagamokanishnawbek.com/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2f8e846e-ba4e-4eb0-b528-bebc359be4c9&ccId=19000101_000001&lang=en_CA&selectedMenuKey=CurrentOpenings,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2f8e846e-ba4e-4eb0-b528-bebc359be4c9&ccId=19000101_000001&lang=en_CA&selectedMenuKey=CurrentOpenings,ats_adp,adp,0.98,url_pattern,2026-02-16,matched adp recruitment path,0
mun-0035-city-of-sarnia,City of Sarnia,municipality,https://www.sarnia.ca/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=9ba4d624-1cab-4482-861f-900704c3df0d&ccId=19000101_000001&type=JS&lang=en_CA&selectedMenuKey=CareerCenter,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=9ba4d624-1cab-4482-861f-900704c3df0d&ccId=19000101_000001&type=JS&lang=en_CA&selectedMenuKey=CareerCenter,ats_adp,adp,0.98,url_pattern,2026-02-16,matched adp recruitment path,0
mun-0150-town-of-aurora,Town of Aurora,municipality,https://www.aurora.ca/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=b1fead40-7a8c-4b14-87a0-dc031bab192d&ccId=19000101_000001&lang=en_CA,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=b1fead40-7a8c-4b14-87a0-dc031bab192d&ccId=19000101_000001&lang=en_CA,ats_adp,adp,0.98,url_pattern,2026-02-16,matched adp recruitment path,0
fn-0443-aamjiwnaang,Aamjiwnaang,first_nation,https://www.aamjiwnaang.ca/,https://www.aamjiwnaang.ca/employment-opportunities-4,https://www.aamjiwnaang.ca/wp-content/uploads/2025/09/Security-Guard-Job-Posting-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0233-township-of-adelaide-metcalfe,Township of Adelaide Metcalfe,municipality,https://www.adelaidemetcalfe.on.ca/,https://www.adelaidemetcalfe.on.ca/contact-us/employment,https://www.adelaidemetcalfe.on.ca/contact-us/employment,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0239-township-of-alnwick-haldimand,Township of Alnwick/Haldimand,municipality,https://www.ahtwp.ca/,https://www.ahtwp.ca/careers,https://www.ahtwp.ca/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0147-town-of-ajax,Town of Ajax,municipality,https://www.ajax.ca/en/index.aspx,https://www.ajax.ca/en/inside-townhall/careers.aspx,https://ajax.wd10.myworkdayjobs.com/Ajax,ats_workday,workday,0.92,html_a_href,2026-02-16,matched workday domain/path via a_href,0
fn-0538-ojibways-of-onigaming-first-nation,Ojibways of Onigaming First Nation,first_nation,https://www.akrc.on.ca/,https://www.akrc.on.ca/category/employment/,https://www.akrc.on.ca/category/employment,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0517-mohawks-of-akwesasne,Mohawks of Akwesasne,first_nation,https://www.akwesasne.ca/,https://www.akwesasne.ca/careers,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0ce8fb85-2d6b-4891-af18-08a0cb3841a2&ccId=19000101_000001&lang=en_CA,ats_adp,adp,0.92,html_a_href,2026-02-16,matched adp recruitment path via a_href,0
mun-0237-township-of-alfred-plantagenet,Township of Alfred & Plantagenet,municipality,https://www.alfred-plantagenet.com/en,https://www.alfred-plantagenet.com/en/government-administration/job-postings-volunteering,https://www.alfred-plantagenet.com/en/government-administration/job-postings-volunteering,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0238-township-of-algonquin-highlands,Township of Algonquin Highlands,municipality,https://www.algonquinhighlands.ca/,https://www.algonquinhighlands.ca/municipal-services/employment-and-volunteer-opportunities,https://www.algonquinhighlands.ca/media/yaeoxiyt/2020-03_sewage_system_permit_application_package-acc.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
fn-0446-algonquins-of-pikwakanagan-first-nation,Algonquins of Pikwakanagan First Nation,first_nation,https://www.algonquinsofpikwakanagan.com/,https://www.algonquinsofpikwakanagan.com/programs-services/human-resources/job-opportunities,https://www.algonquinsofpikwakanagan.com/media/zhuglipk/project-operations-manager-neyagada-wabandangaki.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0240-township-of-amaranth,Township of Amaranth,municipality,https://www.amaranth.ca/,https://www.amaranth.ca/municipal-government/jobs,https://www.amaranth.ca/municipal-government/jobs,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0148-town-of-amherstburg,Town of Amherstburg,municipality,https://www.amherstburg.ca/,https://www.amherstburg.ca/careers,https://www.amherstburg.ca/careers,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0447-animakee-wa-zhing-37,Animakee Wa Zhing #37,first_nation,https://www.animakeewazhing37.com/,https://www.animakeewazhing37.com/windigo-island-2,https://www.animakeewazhing37.com/windigo-island-2,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0244-township-of-asphodel-norwood,Township of Asphodel-Norwood,municipality,https://www.antownship.ca/,https://www.antownship.ca/careers,https://www.antownship.ca/media/qb0buv3m/market-manager-job-description.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0241-township-of-armour,Township of Armour,municipality,https://www.armourtownship.ca/,https://www.armourtownship.ca/employment-notices,https://www.armourtownship.ca/employment-notices,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0242-township-of-armstrong,Township of Armstrong,municipality,https://www.armstrongtownship.com/en,https://www.armstrongtownship.com/en/municipal-services/opportunities,https://www.armstrongtownship.com/en/municipal-services/opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0149-town-of-arnprior,Town of Arnprior,municipality,https://www.arnprior.ca/en/index.aspx,https://www.arnprior.ca/en/town-hall/job-postings.aspx,https://www.arnprior.ca/External-Opportunity-Post---Facility-Attendant.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0073-municipality-of-arran-elderslie,Municipality of Arran Elderslie,municipality,https://www.arran-elderslie.ca/,https://www.arran-elderslie.ca/government/council-and-administration/careers-and-volunteering,https://www.arran-elderslie.ca/media/raof4vk2/paisley-working-group-application-fillable_responses.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0245-township-of-assiginack,Township of Assiginack,municipality,https://www.assiginack.ca/,https://www.assiginack.ca/administration/employment-opportunities,https://www.assiginack.ca/administration/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0001-city-of-barrie,City of Barrie,municipality,https://www.barrie.ca/,https://www.barrie.ca/government-news/employment-opportunities,https://www.barrie.ca/government-news/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
mun-0074-municipality-of-bayham,Municipality of Bayham,municipality,https://www.bayham.on.ca/,https://www.bayham.on.ca/municipal-office/career-opportunities,https://www.bayham.on.ca/media/erypbaib/planning-coordinator-job-description-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0002-city-of-belleville,City of Belleville,municipality,https://www.belleville.ca/en/index.aspx,https://www.belleville.ca/en/city-hall/employmentopportunities.aspx,https://www.belleville.ca/en/city-hall/employmentopportunities.aspx,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
fn-0450-anishnaabeg-of-naongashiing,Anishnaabeg of Naongashiing,first_nation,https://www.bigisland.ca/ ,https://www.bigisland.ca/jobs-newsletters ,https://bigisland.ca/sites/default/files/noreply%40mfpscans.net_20260210_114235.pdf,pdf,pdf,0.75,html_a_href,2026-02-16,pdf path detected via a_href,0
mun-0075-municipality-of-billings,Municipality of Billings,municipality,https://www.billingstwp.ca/,https://www.billingstwp.ca/townhall/careers,https://www.billingstwp.ca/townhall/careers,unknown,generic,0.30,fallback_unknown,2026-02-16,unable to classify; requires manual review,1
mun-0252-township-of-blandford-blenheim,Township of Blandford Blenheim,municipality,https://www.blandfordblenheim.ca/,https://www.blandfordblenheim.ca/business-and-employment/employment-opportunities,https://www.blandfordblenheim.ca/business-and-employment/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-16,job-like links found on landing page,0
